Real;Pronostic
0,02970244;45889
0,0599272;53047
0,09119658;42676
0,1589585;58156
0,1964957;74091
0,2814941;141629
0,33;151471
0,5006788;219179
0,66;308132
0,7655265;314294
0,7956813;404640
0,8743782;353136
0,9193901;277248
0,9804359;257627
-0,0120915;96293
0,2542484;225732
0,33;344354
0,5000833;399928
0,66;446420
0,85;457777
0,9275;406883
0,9640625;342650
0;51060
-0,0150625;67360
0,33;247592
0,66;305357
0,8248242;385518
0,86675;463323
0,9695586;401579
-0,01436244;68749
0,1940617;127379
0,3923734;223243
0,53808;296394
0,7031201;324700
0,81648;350009
0,88192;315028
0,91256;248592
-0,0120915;102569
0,08594118;106270
0,2542484;158607
0,4072671;215002
0,66;259729
0,8223324;281947
0,9141877;293904
1;244298
0;91892
0,1257713;79483
0,2703182;206666
0,435869;233796
0,4912019;278245
0,66;280027
0,7724074;306917
0,8290625;384366
0,9429283;444877
1;404862
0;93905
0,02644445;128904
0,1708889;202686
0,33;343749
0,4907778;484355
0,66;609020
0,8021867;700102
0,8694134;698606
0;778427
0,03778765;780200
0,1526101;786629
0,2788019;705516
0,3747464;680201
0,66;694579
0,7562683;792057
0,8047522;838450
0,9022012;822459
0,9510787;775874
0;905048
-0,0120915;891913
0,2542484;822283
0,33;768767
0,66;713228
0,834895;762960
0,9050143;768547
0,9375256;816612
0;825000
-0,009210525;854023
0,08905264;807119
0,33;810199
0,5918221;808925
0,66;792477
0,834895;833342
0,9050143;853058
1;863668
-0,01580175;967976
0,2667542;871956
0,4627886;825280
0,66;809982
0,7494925;800119
0,8285323;836611
0,9001058;833472
1;852519
